Freq.;V(out)/V(p001)
1.73780082874937e+01;(6.94734213616206e+01dB,1.79973678945335e+02°)
1.77827941003892e+01;(6.94734719924263e+01dB,1.79965867428102e+02°)
1.81970085860998e+01;(6.94735248750127e+01dB,1.79958037710708e+02°)
1.86208713666286e+01;(6.94735801223230e+01dB,1.79950185634611e+02°)
1.90546071796324e+01;(6.94736378519412e+01dB,1.79942307028884e+02°)
1.94984459975804e+01;(6.94736981859324e+01dB,1.79934397707970e+02°)
1.99526231496887e+01;(6.94737612516300e+01dB,1.79926453469426e+02°)
2.04173794466952e+01;(6.94738271835618e+01dB,1.79918470091658e+02°)
2.08929613085403e+01;(6.94738961229810e+01dB,1.79910443331637e+02°)
2.13796208950222e+01;(6.94739682138144e+01dB,1.79902368922579e+02°)
2.18776162394954e+01;(6.94740436104344e+01dB,1.79894242571663e+02°)
2.23872113856833e+01;(6.94741224715735e+01dB,1.79886059957677e+02°)
2.29086765276776e+01;(6.94742049672353e+01dB,1.79877816728681e+02°)
2.34422881531991e+01;(6.94742912695913e+01dB,1.79869508499619e+02°)
2.39883291901948e+01;(6.94743815634823e+01dB,1.79861130849943e+02°)
2.45470891568502e+01;(6.94744760400738e+01dB,1.79852679321182e+02°)
2.51188643150957e+01;(6.94745748986630e+01dB,1.79844149414507e+02°)
2.57039578276885e+01;(6.94746783514587e+01dB,1.79835536588255e+02°)
2.63026799189537e+01;(6.94747866171075e+01dB,1.79826836255437e+02°)
2.69153480392690e+01;(6.94748999246484e+01dB,1.79818043781202e+02°)
2.75422870333815e+01;(6.94750185157586e+01dB,1.79809154480278e+02°)
2.81838293126444e+01;(6.94751426410045e+01dB,1.79800163614377e+02°)
2.88403150312659e+01;(6.94752725642737e+01dB,1.79791066389562e+02°)
2.95120922666637e+01;(6.94754085628771e+01dB,1.79781857953568e+02°)
3.01995172040200e+01;(6.94755509228985e+01dB,1.79772533393116e+02°)
3.09029543251358e+01;(6.94756999478458e+01dB,1.79763087731131e+02°)
3.16227766016836e+01;(6.94758559551253e+01dB,1.79753515923953e+02°)
3.23593656929627e+01;(6.94760192742690e+01dB,1.79743812858516e+02°)
3.31131121482589e+01;(6.94761902539161e+01dB,1.79733973349413e+02°)
3.38844156139201e+01;(6.94763692564729e+01dB,1.79723992135990e+02°)
3.46736850452530e+01;(6.94765566604083e+01dB,1.79713863879347e+02°)
3.54813389233574e+01;(6.94767528662717e+01dB,1.79703583159229e+02°)
3.63078054770100e+01;(6.94769582898794e+01dB,1.79693144470985e+02°)
3.71535229097171e+01;(6.94771733663514e+01dB,1.79682542222361e+02°)
3.80189396320559e+01;(6.94773985541937e+01dB,1.79671770730231e+02°)
3.89045144994279e+01;(6.94776343308886e+01dB,1.79660824217338e+02°)
3.98107170553495e+01;(6.94778811979247e+01dB,1.79649696808876e+02°)
4.07380277804111e+01;(6.94781396792997e+01dB,1.79638382529059e+02°)
4.16869383470333e+01;(6.94784103249472e+01dB,1.79626875297566e+02°)
4.26579518801590e+01;(6.94786937103951e+01dB,1.79615168925942e+02°)
4.36515832240164e+01;(6.94789904361076e+01dB,1.79603257113925e+02°)
4.46683592150961e+01;(6.94793011336260e+01dB,1.79591133445594e+02°)
4.57088189614873e+01;(6.94796264637152e+01dB,1.79578791385523e+02°)
4.67735141287196e+01;(6.94799671172333e+01dB,1.79566224274815e+02°)
4.78630092322636e+01;(6.94803238192832e+01dB,1.79553425326975e+02°)
4.89778819368444e+01;(6.94806973290109e+01dB,1.79540387623742e+02°)
5.01187233627270e+01;(6.94810884382237e+01dB,1.79527104110852e+02°)
5.12861383991362e+01;(6.94814979811943e+01dB,1.79513567593457e+02°)
5.24807460249770e+01;(6.94819268277854e+01dB,1.79499770731745e+02°)
5.37031796370250e+01;(6.94823758906256e+01dB,1.79485706036167e+02°)
5.49540873857622e+01;(6.94828461245574e+01dB,1.79471365862674e+02°)
5.62341325190346e+01;(6.94833385321976e+01dB,1.79456742407683e+02°)
5.75439937337154e+01;(6.94838541594382e+01dB,1.79441827703131e+02°)
5.88843655355586e+01;(6.94843941043817e+01dB,1.79426613611058e+02°)
6.02559586074354e+01;(6.94849595166376e+01dB,1.79411091818254e+02°)
6.16595001861479e+01;(6.94855516016670e+01dB,1.79395253830609e+02°)
6.30957344480190e+01;(6.94861716179084e+01dB,1.79379090967482e+02°)
6.45654229034652e+01;(6.94868208869427e+01dB,1.79362594355532e+02°)
6.60693448007592e+01;(6.94875007934564e+01dB,1.79345754922612e+02°)
6.76082975391978e+01;(6.94882127850471e+01dB,1.79328563391480e+02°)
6.91830970918932e+01;(6.94889583785727e+01dB,1.79311010273104e+02°)
7.07945784384134e+01;(6.94897391679597e+01dB,1.79293085859661e+02°)
7.24435960074986e+01;(6.94905568126698e+01dB,1.79274780217934e+02°)
7.41310241300913e+01;(6.94914130596325e+01dB,1.79256083181362e+02°)
7.58577575029179e+01;(6.94923097340150e+01dB,1.79236984342841e+02°)
7.76247116628687e+01;(6.94932487512319e+01dB,1.79217473046531e+02°)
7.94328234724277e+01;(6.94942321148305e+01dB,1.79197538379847e+02°)
8.12830516164094e+01;(6.94952619253849e+01dB,1.79177169164747e+02°)
8.31763771102666e+01;(6.94963403816694e+01dB,1.79156353948954e+02°)
8.51138038202371e+01;(6.94974697905012e+01dB,1.79135080996556e+02°)
8.70963589956075e+01;(6.94986525642705e+01dB,1.79113338278575e+02°)
8.91250938133740e+01;(6.94998912319008e+01dB,1.79091113462755e+02°)
9.12010839355904e+01;(6.95011884449285e+01dB,1.79068393903061e+02°)
9.33254300796985e+01;(6.95025469775745e+01dB,1.79045166628957e+02°)
9.54992586021430e+01;(6.95039697396248e+01dB,1.79021418333720e+02°)
9.77237220955805e+01;(6.95054597769960e+01dB,1.78997135362768e+02°)
9.99999999999994e+01;(6.95070202837234e+01dB,1.78972303700941e+02°)
1.02329299228075e+02;(6.95086546042136e+01dB,1.78946908959681e+02°)
1.04712854805089e+02;(6.95103662467929e+01dB,1.78920936363053e+02°)
1.07151930523760e+02;(6.95121588824415e+01dB,1.78894370733894e+02°)
1.09647819614318e+02;(6.95140363596732e+01dB,1.78867196478458e+02°)
1.12201845430196e+02;(6.95160027135980e+01dB,1.78839397570625e+02°)
1.14815362149688e+02;(6.95180621711359e+01dB,1.78810957535569e+02°)
1.17489755493952e+02;(6.95202191628906e+01dB,1.78781859432241e+02°)
1.20226443461741e+02;(6.95224783311147e+01dB,1.78752085835220e+02°)
1.23026877081237e+02;(6.95248445432829e+01dB,1.78721618815287e+02°)
1.25892541179416e+02;(6.95273228995293e+01dB,1.78690439919402e+02°)
1.28824955169313e+02;(6.95299187456738e+01dB,1.78658530149280e+02°)
1.31825673855640e+02;(6.95326376867304e+01dB,1.78625869938807e+02°)
1.34896288259164e+02;(6.95354855982595e+01dB,1.78592439130390e+02°)
1.38038426460288e+02;(6.95384686379353e+01dB,1.78558216950026e+02°)
1.41253754462274e+02;(6.95415932642380e+01dB,1.78523181980474e+02°)
1.44543977074592e+02;(6.95448662469768e+01dB,1.78487312133651e+02°)
1.47910838816820e+02;(6.95482946851104e+01dB,1.78450584620688e+02°)
1.51356124843620e+02;(6.95518860227885e+01dB,1.78412975920672e+02°)
1.54881661891247e+02;(6.95556480648102e+01dB,1.78374461747509e+02°)
1.58489319246110e+02;(6.95595889976036e+01dB,1.78335017014428e+02°)
1.62181009735892e+02;(6.95637174066303e+01dB,1.78294615796742e+02°)
1.65958690743755e+02;(6.95680422999738e+01dB,1.78253231291725e+02°)
1.69824365246173e+02;(6.95725731223427e+01dB,1.78210835777038e+02°)
1.73780082874936e+02;(6.95773197850064e+01dB,1.78167400565142e+02°)
1.77827941003891e+02;(6.95822926857634e+01dB,1.78122895955783e+02°)
1.81970085860997e+02;(6.95875027313944e+01dB,1.78077291185268e+02°)
1.86208713666285e+02;(6.95929613739133e+01dB,1.78030554371347e+02°)
1.90546071796323e+02;(6.95986806235493e+01dB,1.77982652456516e+02°)
1.94984459975803e+02;(6.96046730937978e+01dB,1.77933551144775e+02°)
1.99526231496887e+02;(6.96109520163389e+01dB,1.77883214837140e+02°)
2.04173794466951e+02;(6.96175312892850e+01dB,1.77831606559501e+02°)
2.08929613085402e+02;(6.96244254989393e+01dB,1.77778687888296e+02°)
2.13796208950222e+02;(6.96316499641868e+01dB,1.77724418868814e+02°)
2.18776162394954e+02;(6.96392207765498e+01dB,1.77668757928446e+02°)
2.23872113856832e+02;(6.96471548323852e+01dB,1.77611661784473e+02°)
2.29086765276776e+02;(6.96554698812196e+01dB,1.77553085343877e+02°)
2.34422881531990e+02;(6.96641845731673e+01dB,1.77492981595999e+02°)
2.39883291901947e+02;(6.96733185085859e+01dB,1.77431301497034e+02°)
2.45470891568501e+02;(6.96828922813859e+01dB,1.77367993847171e+02°)
2.51188643150956e+02;(6.96929275477970e+01dB,1.77303005155414e+02°)
2.57039578276884e+02;(6.97034470640948e+01dB,1.77236279498165e+02°)
2.63026799189536e+02;(6.97144747750649e+01dB,1.77167758360623e+02°)
2.69153480392690e+02;(6.97260358508465e+01dB,1.77097380473059e+02°)
2.75422870333815e+02;(6.97381567815739e+01dB,1.77025081626377e+02°)
2.81838293126443e+02;(6.97508654318128e+01dB,1.76950794479101e+02°)
2.88403150312658e+02;(6.97641911342982e+01dB,1.76874448343208e+02°)
2.95120922666636e+02;(6.97781647687240e+01dB,1.76795968955190e+02°)
3.01995172040199e+02;(6.97928188415637e+01dB,1.76715278228466e+02°)
3.09029543251357e+02;(6.98081876012845e+01dB,1.76632293979794e+02°)
3.16227766016835e+02;(6.98243071246600e+01dB,1.76546929637592e+02°)
3.23593656929626e+02;(6.98412154315350e+01dB,1.76459093921411e+02°)
3.31131121482588e+02;(6.98589526023797e+01dB,1.76368690492941e+02°)
3.38844156139200e+02;(6.98775609008442e+01dB,1.76275617576734e+02°)
3.46736850452529e+02;(6.98970849101973e+01dB,1.76179767544654e+02°)
3.54813389233573e+02;(6.99175716724734e+01dB,1.76081026463315e+02°)
3.63078054770098e+02;(6.99390708455916e+01dB,1.75979273597435e+02°)
3.71535229097170e+02;(6.99616348708565e+01dB,1.75874380865706e+02°)
3.80189396320558e+02;(6.99853191432828e+01dB,1.75766212245768e+02°)
3.89045144994277e+02;(7.00101822116187e+01dB,1.75654623117413e+02°)
3.98107170553494e+02;(7.00362859752934e+01dB,1.75539459543610e+02°)
4.07380277804109e+02;(7.00636959143303e+01dB,1.75420557475087e+02°)
4.16869383470332e+02;(7.00924813211828e+01dB,1.75297741876244e+02°)
4.26579518801589e+02;(7.01227155716524e+01dB,1.75170825754603e+02°)
4.36515832240162e+02;(7.01544763900114e+01dB,1.75039609093673e+02°)
4.46683592150959e+02;(7.01878461629009e+01dB,1.74903877663783e+02°)
4.57088189614871e+02;(7.02229122664186e+01dB,1.74763401704774e+02°)
4.67735141287194e+02;(7.02597674218761e+01dB,1.74617934461178e+02°)
4.78630092322634e+02;(7.02985100834880e+01dB,1.74467210549659e+02°)
4.89778819368442e+02;(7.03392448633831e+01dB,1.74310944136606e+02°)
5.01187233627268e+02;(7.03820829933107e+01dB,1.74148826899647e+02°)
5.12861383991361e+02;(7.04271428239085e+01dB,1.73980525745157e+02°)
5.24807460249768e+02;(7.04745503775544e+01dB,1.73805680243464e+02°)
5.37031796370248e+02;(7.05244399483587e+01dB,1.73623899743886e+02°)
5.49540873857620e+02;(7.05769547637265e+01dB,1.73434760119336e+02°)
5.62341325190344e+02;(7.06322476980470e+01dB,1.73237800092648e+02°)
5.75439937337152e+02;(7.06904820874482e+01dB,1.73032517060246e+02°)
5.88843655355584e+02;(7.07518325881454e+01dB,1.72818362364499e+02°)
6.02559586074353e+02;(7.08164861423475e+01dB,1.72594735900895e+02°)
6.16595001861477e+02;(7.08846430543750e+01dB,1.72360979956156e+02°)
6.30957344480188e+02;(7.09565181581087e+01dB,1.72116372160125e+02°)
6.45654229034650e+02;(7.10323421241256e+01dB,1.71860117385642e+02°)
6.60693448007590e+02;(7.11123629038036e+01dB,1.71591338418331e+02°)
6.76082975391976e+02;(7.11968473339265e+01dB,1.71309065172838e+02°)
6.91830970918930e+02;(7.12860829190588e+01dB,1.71012222191041e+02°)
7.07945784384132e+02;(7.13803798217279e+01dB,1.70699614089857e+02°)
7.24435960074984e+02;(7.14800730520004e+01dB,1.70369908585177e+02°)
7.41310241300911e+02;(7.15855249622202e+01dB,1.70021616564293e+02°)
7.58577575029177e+02;(7.16971279652266e+01dB,1.69653068673854e+02°)
7.76247116628685e+02;(7.18153076130916e+01dB,1.69262387632327e+02°)
7.94328234724274e+02;(7.19405260060517e+01dB,1.68847455393587e+02°)
8.12830516164092e+02;(7.20732856018296e+01dB,1.68405874008226e+02°)
8.31763771102663e+02;(7.22141334417942e+01dB,1.67934918769688e+02°)
8.51138038202369e+02;(7.23636658401675e+01dB,1.67431481849450e+02°)
8.70963589956073e+02;(7.25225335460924e+01dB,1.66892004162126e+02°)
8.91250938133737e+02;(7.26914474075038e+01dB,1.66312392561530e+02°)
9.12010839355901e+02;(7.28711844778313e+01dB,1.65687918708985e+02°)
9.33254300796982e+02;(7.30625945436570e+01dB,1.65013094835896e+02°)
9.54992586021427e+02;(7.32666068735203e+01dB,1.64281520316954e+02°)
9.77237220955802e+02;(7.34842368834834e+01dB,1.63485691154475e+02°)
9.99999999999991e+02;(7.37165922750690e+01dB,1.62616762007321e+02°)
1.02329299228074e+03;(7.39648777041855e+01dB,1.61664247451834e+02°)
1.04712854805089e+03;(7.42303966160782e+01dB,1.60615644980686e+02°)
1.07151930523760e+03;(7.45145478969444e+01dB,1.59455957217194e+02°)
1.09647819614317e+03;(7.48188136307110e+01dB,1.58167084331467e+02°)
1.12201845430195e+03;(7.51447319289433e+01dB,1.56727050213683e+02°)
1.14815362149687e+03;(7.54938451818691e+01dB,1.55109018121511e+02°)
1.17489755493952e+03;(7.58676082931867e+01dB,1.53280045744818e+02°)
1.20226443461740e+03;(7.62672322430033e+01dB,1.51199531961250e+02°)
1.23026877081237e+03;(7.66934242132582e+01dB,1.48817330770742e+02°)
1.25892541179416e+03;(7.71459642408680e+01dB,1.46071581010799e+02°)
1.28824955169312e+03;(7.76230292146973e+01dB,1.42886479709804e+02°)
1.31825673855639e+03;(7.81201414530688e+01dB,1.39170619461986e+02°)
1.34896288259164e+03;(7.86286002618432e+01dB,1.34817288579482e+02°)
1.38038426460287e+03;(7.91333083106345e+01dB,1.29709495417235e+02°)
1.41253754462274e+03;(7.96101629959716e+01dB,1.23734379289115e+02°)
1.44543977074591e+03;(8.00238619437298e+01dB,1.16812971402073e+02°)
1.47910838816819e+03;(8.03281708847624e+01dB,1.08948254153654e+02°)
1.51356124843619e+03;(8.04717123934423e+01dB,1.00281049657954e+02°)
1.54881661891247e+03;(8.04108908138693e+01dB,9.11198857635367e+01°)
1.58489319246110e+03;(8.01257590104488e+01dB,8.19016411029941e+01°)
1.62181009735891e+03;(7.96286836708171e+01dB,7.30793125930456e+01°)
1.65958690743754e+03;(7.89588719205124e+01dB,6.49996046567023e+01°)
1.69824365246173e+03;(7.81672371768715e+01dB,5.78434933604217e+01°)
1.73780082874936e+03;(7.73020756734595e+01dB,5.16426629887062e+01°)
1.77827941003890e+03;(7.64015373019754e+01dB,4.63330657855575e+01°)
1.81970085860996e+03;(7.54923024917494e+01dB,4.18066565738893e+01°)
1.86208713666285e+03;(7.45914181501546e+01dB,3.79456368693556e+01°)
1.90546071796323e+03;(7.37089216136210e+01dB,3.46400598097846e+01°)
1.94984459975803e+03;(7.28501531314959e+01dB,3.17946371412265e+01°)
1.99526231496886e+03;(7.20174687928802e+01dB,2.93298704837748e+01°)
2.04173794466951e+03;(7.12114051087247e+01dB,2.71806972781580e+01°)
2.08929613085402e+03;(7.04314340422997e+01dB,2.52943228487058e+01°)
2.13796208950221e+03;(6.96764384516060e+01dB,2.36280049306893e+01°)
2.18776162394953e+03;(6.89450053247407e+01dB,2.21470894076875e+01°)
2.23872113856832e+03;(6.82356031699275e+01dB,2.08233764594171e+01°)
2.29086765276775e+03;(6.75466868478616e+01dB,1.96338044973159e+01°)
2.34422881531990e+03;(6.68767573665649e+01dB,1.85594069690811e+01°)
2.39883291901946e+03;(6.62243939741185e+01dB,1.75844915637519e+01°)
2.45470891568500e+03;(6.55882693849109e+01dB,1.66959957873090e+01°)
2.51188643150955e+03;(6.49671548708790e+01dB,1.58829804226136e+01°)
2.57039578276884e+03;(6.43599194407961e+01dB,1.51362302803115e+01°)
2.63026799189535e+03;(6.37655257010241e+01dB,1.44479381676351e+01°)
2.69153480392689e+03;(6.31830239855415e+01dB,1.38114534521295e+01°)
2.75422870333814e+03;(6.26115457560938e+01dB,1.32210810443155e+01°)
2.81838293126442e+03;(6.20502968327473e+01dB,1.26719197227565e+01°)
2.88403150312657e+03;(6.14985508075776e+01dB,1.21597314155559e+01°)
2.95120922666635e+03;(6.09556428164427e+01dB,1.16808349073874e+01°)
3.01995172040198e+03;(6.04209637692676e+01dB,1.12320189530254e+01°)
3.09029543251356e+03;(5.98939550610748e+01dB,1.08104708506397e+01°)
3.16227766016834e+03;(5.93741037713631e+01dB,1.04137174367378e+01°)
3.23593656929625e+03;(5.88609383250982e+01dB,1.00395760922480e+01°)
3.31131121482587e+03;(5.83540245893621e+01dB,9.68611387620871e+00°)
3.38844156139199e+03;(5.78529623651359e+01dB,9.35161325453155e+00°)
3.46736850452528e+03;(5.73573822421337e+01dB,9.03454326185808e+00°)
3.54813389233572e+03;(5.68669427768360e+01dB,8.73353510581642e+00°)
3.63078054770097e+03;(5.63813279635129e+01dB,8.44736145760043e+00°)
3.71535229097168e+03;(5.59002449664935e+01dB,8.17491880540410e+00°)
3.80189396320557e+03;(5.54234220818872e+01dB,7.91521234616187e+00°)
3.89045144994276e+03;(5.49506069093972e+01dB,7.66734301957689e+00°)
3.98107170553493e+03;(5.44815647054814e+01dB,7.43049632912466e+00°)
4.07380277804108e+03;(5.40160769018135e+01dB,7.20393268156291e+00°)
4.16869383470331e+03;(5.35539397680207e+01dB,6.98697900273062e+00°)
